vomit,blood,y,x,street,lat,urine,eventdate,humanfouling,long
PLACE,51.51353,Yes,29/05/2012,Yes,-0.1359509 NO,NO,180585,530363,JOHN ADAM 
STREET,51.509182,Yes,29/05/2012,NO,-0.1229144 NO,NO,0,0,Not 
Recorded,0.0,Yes,29/05/2012,NO,0.0 Yes,NO,180608,529874,ORANGE 
STREET,51.509495,NO,29/05/2012,Yes,-0.1299477 NO,NO,182068,528914,GREENWELL 
STREET,51.522835,NO,03/04/2012,Yes,-0.1432396 NO,NO,0,0,Not 
Recorded,0.0,Yes,03/04/2012,NO,0.0 NO,NO,181032,530423,MARTLETT 
COURT,51.51318,Yes,20/06/2013,NO,-0.1218844 NO,NO,180573,529703,NORRIS 
STREET,51.50922,NO,20/06/2013,Yes,-0.1324238 Yes,NO,180460,529889,WHITCOMB 
STREET,51.50816,NO,20/06/2013,NO,-0.1297861
 NO,NO,180185,530111,WHITEHALL,51.505646,Yes,20/06/2013,NO,-0.1266961
 NO,NO,183157,527065,SOUTHCOTT MEWS,51.53304,NO,25/01/2013,Yes,-0.1694839
 NO,NO,181559,528924,ALL SOULS PLACE,51.518257,NO,30/08/2013,Yes,-0.1432817
 NO,NO,181098,528420,BINNEY STREET,51.51423,Yes,30/08/2013,NO,-0.1507095
 NO,NO,179169,529416,FRANCIS STREET,51.496666,NO,30/08/2013,Yes,-0.1370714
 Yes,NO,178925,529409,GREENCOAT PLACE,51.494476,NO,30/08/2013,NO,-0.1372617
 NO,NO,181641,524836,LEAMINGTON ROAD 
VILLAS,51.519913,Yes,30/08/2013,NO,-0.2021401 NO,NO,181404,524949,LEDBURY 
ROAD,51.517757,Yes,30/08/2013,NO,-0.2005963 Yes,NO,180972,530018,LITCHFIELD 
STREET,51.512733,NO,30/08/2013,NO,-0.1277396 NO,NO,181120,529480,LIVONIA 
STREET,51.514187,Yes,30/08/2013,NO,-0.135434 NO,NO,180459,529441,ORMOND 
YARD,51.508255,NO,30/08/2013,Yes,-0.1362383 Yes,NO,181113,528912,PRINCES 
STREET,51.51425,NO,30/08/2013,NO,-0.1436176 NO,NO,182488,523892,ST JOHN'S 
TERRACE,51.527733,Yes,30/08/2013,NO,-0.2154413 NO,NO,0,0,Not 
Recorded,0.0,Yes,26/06/2012,NO,0.0 NO,NO,180396,528226,PARK 
LANE,51.507965,NO,01/12/2012,Yes,-0.153759 Yes,NO,180733,529596,GREAT WINDMILL 
STREET,51.510685,NO,22/03/2013,NO,-0.1339126
 Yes,NO,179863,528517,PICCADILLY,51.50311,NO,22/03/2013,NO,-0.1497623
 NO,NO,181752,529282,RIDING HOUSE STREET,51.519917,NO,22/03/2013,Yes,-0.1380622
 NO,NO,180703,530410,LUMLEY COURT,51.510223,NO,04/05/2012,Yes,-0.1221933
 Yes,NO,180484,530067,TRAFALGAR SQUARE,51.508335,NO,04/05/2012,Yes,-0.1272176
 NO,NO,180641,529798,PANTON STREET,51.509808,NO,07/10/2012,Yes,-0.1310284
 NO,NO,180961,526764,BATHURST MEWS,51.51338,NO,27/06/2012,Yes,-0.1746162
 NO,NO,0,0,Not Recorded,0.0,NO,27/06/2012,Yes,0.0 Yes,NO,180576,530156,ADELAIDE 
STREET,51.509144,NO,04/09/2013,NO,-0.1258982 NO,NO,181041,528302,BALDERTON 
STREET,51.513744,Yes,04/09/2013,NO,-0.1524299 NO,NO,181194,529579,CARLISLE 
STREET,51.514828,NO,04/09/2013,Yes,-0.1339809 Yes,NO,180495,529440,CHURCH 
PLACE,51.50858,NO,04/09/2013,NO,-0.1362395 NO,NO,181137,528744,DERING 
STREET,51.51451,Yes,04/09/2013,NO,-0.1460328 Yes,NO,178689,528685,ELIZABETH 
BRIDGE,51.49252,NO,04/09/2013,NO,-0.1477711 NO,NO,178750,528546,ELIZABETH 
STREET,51.493107,Yes,04/09/2013,NO,-0.149751 NO,NO,181795,529049,GREAT 
TITCHFIELD STREET,51.52035,Yes,04/09/2013,NO,-0.1413947
 Yes,NO,180834,529832,LEICESTER PLACE,51.511536,NO,04/09/2013,NO,-0.1304694
 NO,NO,181032,530423,MARTLETT COURT,51.51318,Yes,04/09/2013,NO,-0.1218844
 NO,NO,179115,529198,MORPETH TERRACE,51.49623,NO,04/09/2013,Yes,-0.1402299
 NO,NO,180910,528096,PARK STREET,51.512615,NO,04/09/2013,Yes,-0.1554445
 NO,NO,180185,530111,WHITEHALL,51.505646,Yes,04/09/2013,Yes,-0.1266961
 NO,NO,181526,528392,CROSS KEYS CLOSE,51.51808,Yes,17/05/2012,NO,-0.150957
 NO,NO,0,0,Not Recorded,0.0,Yes,17/05/2012,NO,0.0 Yes,NO,180975,530471,BOW 
STREET,51.512657,NO,25/08/2013,NO,-0.1212141 NO,NO,182100,528415,MARYLEBONE 
ROAD,51.52324,Yes,16/08/2013,NO,-0.1504129 NO,NO,180575,529637,ST ALBAN'S 
STREET,51.50925,NO,16/08/2013,Yes,-0.133373 Yes,NO,181776,527493,WALMER 
PLACE,51.52054,NO,16/08/2013,NO,-0.1638199 NO,NO,181128,525418,WESTBOURNE 
GROVE,51.515175,Yes,16/08/2013,NO,-0.1939386 NO,Yes,181669,528019,BAKER 
STREET,51.51945,NO,13/08/2013,NO,-0.156278 Yes,NO,180986,529660,BOURCHIER 
STREET,51.512947,NO,13/08/2013,NO,-0.1328859 NO,NO,181749,527946,DURWESTON 
MEWS,51.520187,NO,13/08/2013,Yes,-0.1573005 NO,NO,181795,529049,GREAT TITCHFIELD 
STREET,51.52035,Yes,13/08/2013,NO,-0.1413947 NO,NO,180972,530018,LITCHFIELD 
STREET,51.512733,Yes,13/08/2013,NO,-0.1277396 NO,NO,181672,524748,ST LUKE'S 
ROAD,51.52021,NO,29/06/2013,Yes,-0.2033968 Yes,NO,181795,529049,GREAT TITCHFIELD 
STREET,51.52035,Yes,14/06/2013,NO,-0.1413947 Yes,NO,0,0,Not 
Recorded,0.0,NO,14/06/2013,NO,0.0 NO,NO,180215,528332,PARK 
LANE,51.506317,Yes,14/06/2013,NO,-0.1523064 NO,NO,181214,529229,RAMILLIES 
PLACE,51.515087,NO,14/06/2013,Yes,-0.1390148 NO,NO,178973,529320,STILLINGTON 
STREET,51.494926,Yes,14/06/2013,NO,-0.1385254 NO,NO,181261,527763,WYTHBURN 
PLACE,51.515842,NO,14/06/2013,Yes,-0.1601135 Yes,NO,180729,529810,LEICESTER 
SQUARE,51.510597,NO,07/04/2013,NO,-0.1308323 NO,NO,181156,525331,BOTTS 
MEWS,51.515446,Yes,21/09/2013,NO,-0.1951818 NO,NO,181046,529446,INGESTRE 
PLACE,51.51353,Yes,21/09/2013,NO,-0.1359509 Yes,NO,180792,529922,LEICESTER 
COURT,51.51114,NO,21/09/2013,NO,-0.1291886 NO,NO,0,0,Not 
Recorded,0.0,Yes,21/09/2013,NO,0.0 NO,NO,180491,529754,CHARLES II 
STREET,51.508472,Yes,11/06/2012,NO,-0.1317242 NO,NO,180765,530073,GOODWIN'S 
COURT,51.51086,NO,11/06/2012,Yes,-0.1270238 NO,NO,180703,530410,LUMLEY 
COURT,51.510223,NO,11/06/2012,Yes,-0.1221933 Yes,NO,0,0,Not 
Recorded,0.0,NO,11/06/2012,NO,0.0
 NO,NO,179863,528517,PICCADILLY,51.50311,Yes,11/06/2012,NO,-0.1497623
 NO,NO,180460,529889,WHITCOMB STREET,51.50816,NO,15/09/2013,Yes,-0.1297861
 NO,Yes,180185,530111,WHITEHALL,51.505646,NO,15/09/2013,NO,-0.1266961
 Yes,NO,180645,530010,HANWAY STREET,51.509796,NO,07/07/2012,NO,-0.1279754
 Yes,NO,180796,529770,LEICESTER STREET,51.511208,NO,07/07/2012,NO,-0.1313763
 Yes,NO,180860,529907,LISLE STREET,51.511753,NO,07/07/2012,NO,-0.1293796
 NO,NO,0,0,Not Recorded,0.0,Yes,07/07/2012,NO,0.0 NO,NO,180918,529657,WARDOUR 
STREET,51.51233,NO,07/07/2012,Yes,-0.1329589 Yes,NO,180460,529889,WHITCOMB 
STREET,51.50816,NO,07/07/2012,Yes,-0.1297861 NO,NO,181468,525024,ALDRIDGE ROAD 
VILLAS,51.51832,NO,28/08/2012,Yes,-0.1994932 NO,NO,181156,525331,BOTTS 
MEWS,51.515446,Yes,28/08/2012,NO,-0.1951818 NO,NO,180436,528846,LANSDOWNE 
ROW,51.508186,Yes,28/08/2012,NO,-0.1448205 NO,NO,181641,524836,LEAMINGTON ROAD 
VILLAS,51.519913,NO,28/08/2012,Yes,-0.2021401 NO,NO,181304,529153,MARKET 
PLACE,51.515915,NO,28/08/2012,Yes,-0.1400765 NO,NO,181179,525483,MONMOUTH 
PLACE,51.515617,Yes,28/08/2012,NO,-0.1929842 NO,NO,0,0,Not 
Recorded,0.0,Yes,28/08/2012,Yes,0.0 NO,NO,180980,528493,ST ANSELM'S 
PLACE,51.513153,NO,28/08/2012,Yes,-0.1497011 NO,NO,0,0,Not 
Recorded,0.0,NO,26/05/2012,Yes,0.0 Yes,NO,182168,524964,ELGIN 
AVENUE,51.52462,NO,09/11/2012,NO,-0.2001094 NO,NO,178973,529320,STILLINGTON 
STREET,51.494926,Yes,09/11/2012,NO,-0.1385254 NO,NO,179148,529012,VICTORIA 
STREET,51.49657,NO,09/11/2012,Yes,-0.1428958 Yes,NO,180465,529029,DOVER 
STREET,51.508404,NO,16/04/2013,NO,-0.1421695 NO,NO,181248,526734,PRAED 
STREET,51.515957,Yes,16/04/2013,NO,-0.1749476 NO,NO,180611,530085,WILLIAM IV 
STREET,51.509476,NO,16/04/2013,Yes,-0.1269071 NO,NO,181895,529097,CLIPSTONE 
MEWS,51.52124,NO,25/05/2013,Yes,-0.1406667 Yes,NO,178709,528691,BUCKINGHAM 
PALACE ROAD,51.492702,NO,09/07/2013,NO,-0.147683 NO,NO,181795,529049,GREAT 
TITCHFIELD STREET,51.52035,Yes,09/07/2013,NO,-0.1413947
 Yes,NO,182367,524415,HARROW ROAD,51.52653,NO,09/07/2013,NO,-0.2079486
 NO,NO,181046,529446,INGESTRE PLACE,51.51353,NO,09/07/2013,Yes,-0.1359509
 NO,NO,181032,530423,MARTLETT COURT,51.51318,NO,09/07/2013,Yes,-0.1218844
 NO,NO,179148,529012,VICTORIA STREET,51.49657,Yes,09/07/2013,NO,-0.1428958
 NO,NO,180703,530410,LUMLEY COURT,51.510223,Yes,30/10/2012,Yes,-0.1221933
 Yes,NO,181248,526734,PRAED STREET,51.515957,NO,30/10/2012,NO,-0.1749476
 NO,NO,181840,527746,THORNTON PLACE,51.52105,NO,30/10/2012,Yes,-0.1601486
 NO,NO,180576,530156,ADELAIDE STREET,51.509144,NO,26/04/2013,Yes,-0.1258982
 NO,NO,179304,529498,BUTLER PLACE,51.49786,Yes,26/04/2013,NO,-0.1358413
 NO,NO,180703,530410,LUMLEY COURT,51.510223,Yes,26/04/2013,Yes,-0.1221933
 NO,NO,179495,529506,PALMER STREET,51.499577,Yes,26/04/2013,Yes,-0.135656
 Yes,NO,180575,529637,ST ALBAN'S STREET,51.50925,NO,10/08/2013,NO,-0.133373
 NO,NO,180703,530410,LUMLEY COURT,51.510223,NO,18/05/2012,Yes,-0.1221933
 Yes,NO,180373,530015,CHARING CROSS,51.50735,NO,08/07/2013,NO,-0.1280092
 NO,NO,180297,530065,CRAIG'S COURT,51.506664,Yes,08/07/2013,NO,-0.12731
 NO,NO,181137,528744,DERING STREET,51.51451,Yes,08/07/2013,NO,-0.1460328
 Yes,NO,178878,529953,PAGE STREET,51.493935,NO,08/07/2013,NO,-0.1294431
 NO,NO,180512,530247,YORK PLACE,51.508545,NO,08/07/2013,Yes,-0.1246113
 Yes,NO,180642,530328,BEDFORD STREET,51.509697,NO,31/05/2012,NO,-0.1233968
 NO,NO,181767,527769,DURWESTON STREET,51.52039,NO,31/05/2012,Yes,-0.1598437
 Yes,NO,0,0,Not Recorded,0.0,NO,31/05/2012,NO,0.0 Yes,NO,179834,529288,QUEEN'S 
WALK,51.502674,Yes,31/05/2012,Yes,-0.1386707 NO,NO,181046,528574,SOUTH MOLTON 
PASSAGE,51.51373,Yes,31/05/2012,NO,-0.1485104 NO,NO,181261,527763,WYTHBURN 
PLACE,51.515842,NO,15/06/2013,Yes,-0.1601135 NO,NO,181085,529500,BERWICK 
STREET,51.513866,Yes,13/06/2012,NO,-0.1351638 NO,NO,181074,529239,FOUBERT'S 
PLACE,51.513832,NO,13/06/2012,Yes,-0.1389227 NO,NO,0,0,Not 
Recorded,0.0,NO,13/06/2012,Yes,0.0 NO,NO,180495,529440,CHURCH 
PLACE,51.50858,Yes,29/07/2012,NO,-0.1362395 NO,NO,180415,529298,DUKE STREET ST 
JAMES'S,51.507893,Yes,29/07/2012,NO,-0.1383138 NO,NO,181558,526669,NORTH WHARF 
ROAD,51.518764,Yes,29/07/2012,NO,-0.1757685 Yes,NO,179581,530157,PARLIAMENT 
SQUARE,51.5002,NO,29/07/2012,NO,-0.1262508 NO,NO,179270,529676,ST MATTHEW 
STREET,51.497517,NO,30/05/2013,Yes,-0.1332909 NO,NO,179148,529012,VICTORIA 
STREET,51.49657,NO,30/05/2013,Yes,-0.1428958 NO,NO,180686,530385,BULL INN 
COURT,51.51008,NO,12/01/2013,Yes,-0.1225596 NO,NO,180431,530185,CRAVEN 
STREET,51.50783,NO,12/01/2013,Yes,-0.1255341
 Yes,NO,180671,529636,HAYMARKET,51.510117,NO,12/01/2013,NO,-0.1333568
 NO,NO,181633,529351,BERNERS MEWS,51.518826,NO,12/06/2013,Yes,-0.1371038
 Yes,NO,180765,530073,GOODWIN'S COURT,51.51086,NO,12/06/2013,NO,-0.1270238
 Yes,NO,180641,529798,PANTON STREET,51.509808,NO,12/06/2013,NO,-0.1310284
 Yes,NO,180834,529832,LEICESTER PLACE,51.511536,NO,06/09/2012,NO,-0.1304694
 NO,NO,181251,529112,OXFORD STREET,51.51545,NO,06/09/2012,Yes,-0.1406854
 Yes,NO,178820,529756,REGENCY STREET,51.49346,NO,06/09/2012,NO,-0.1322999
 NO,NO,180295,530405,VICTORIA EMBANKMENT,51.50656,Yes,06/09/2012,NO,-0.1224161
 Yes,NO,180740,529590,DENMAN STREET,51.51075,NO,27/12/2012,NO,-0.1339844
 NO,NO,180965,531020,MILFORD LANE,51.51244,NO,27/12/2012,Yes,-0.1133109
 Yes,NO,180918,529657,WARDOUR STREET,51.51233,NO,27/12/2012,NO,-0.1329589
 Yes,NO,180576,530156,ADELAIDE STREET,51.509144,NO,18/05/2013,NO,-0.1258982
 Yes,NO,180501,529612,CARLTON STREET,51.508595,NO,18/05/2013,NO,-0.1337602
 NO,NO,181072,530373,BROAD COURT,51.51355,NO,04/08/2013,Yes,-0.1225897
 Yes,NO,180729,529810,LEICESTER SQUARE,51.510597,NO,04/08/2013,NO,-0.1308323
 NO,NO,180575,529637,ST ALBAN'S STREET,51.50925,Yes,04/08/2013,Yes,-0.133373
 NO,NO,180875,528816,BOURDON STREET,51.512135,Yes,18/07/2013,NO,-0.1450873
 NO,NO,180373,530015,CHARING CROSS,51.50735,NO,18/07/2013,Yes,-0.1280092
 NO,NO,179402,527419,CHEVAL PLACE,51.499214,Yes,18/07/2013,Yes,-0.1657399
 NO,NO,178587,529670,DOUGLAS STREET,51.49138,Yes,18/07/2013,NO,-0.1336281
 Yes,NO,181181,528013,PORTMAN SQUARE,51.515068,NO,18/07/2013,NO,-0.1565416
 NO,NO,181022,529590,TYLER'S COURT,51.51328,Yes,18/07/2013,NO,-0.1338857
 Yes,NO,180496,530266,VILLIERS STREET,51.508396,Yes,18/07/2013,NO,-0.1243436
 NO,NO,180256,530939,WATERLOO BRIDGE,51.506084,NO,18/07/2013,Yes,-0.1147406
 NO,NO,180460,529889,WHITCOMB STREET,51.50816,Yes,18/07/2013,NO,-0.1297861
 NO,NO,180415,529298,JERMYN STREET,51.507893,NO,12/04/2013,Yes,-0.1383138
 NO,NO,180703,530410,LUMLEY COURT,51.510223,Yes,12/04/2013,NO,-0.1221933
 NO,NO,181752,529282,RIDING HOUSE STREET,51.519917,NO,12/04/2013,Yes,-0.1380622
 NO,NO,180835,529547,SMITH'S COURT,51.51161,NO,12/04/2013,Yes,-0.1345737
 Yes,NO,179148,529012,VICTORIA STREET,51.49657,NO,12/04/2013,NO,-0.1428958
 Yes,NO,181270,528315,WIGMORE STREET,51.5158,NO,28/11/2012,NO,-0.1521593
 NO,NO,180402,529796,COCKSPUR STREET,51.507664,NO,22/06/2012,Yes,-0.1311446
 NO,NO,0,0,Not Recorded,0.0,NO,22/06/2012,Yes,0.0 NO,NO,181125,529541,ST ANNE'S 
COURT,51.514217,NO,22/06/2012,Yes,-0.1345536 NO,NO,178828,529330,WILLOW 
PLACE,51.49362,NO,22/06/2012,Yes,-0.1384345 Yes,NO,181175,529634,DEAN 
STREET,51.514645,NO,26/08/2012,NO,-0.1331909
 Yes,NO,180671,529636,HAYMARKET,51.510117,NO,26/08/2012,NO,-0.1333568
 Yes,NO,0,0,Not Recorded,0.0,Yes,26/08/2012,NO,0.0 NO,NO,180828,530173,ROSE 
STREET,51.511402,NO,26/08/2012,Yes,-0.1255604 NO,NO,180986,529660,BOURCHIER 
STREET,51.512947,NO,25/04/2013,Yes,-0.1328859 Yes,NO,180823,529653,RUPERT 
STREET,51.511482,NO,14/12/2012,NO,-0.1330534 Yes,NO,180624,529673,SHAVER'S 
PLACE,51.509686,NO,14/12/2012,NO,-0.1328365 NO,NO,181033,527687,CONNAUGHT 
PLACE,51.51382,NO,19/04/2013,Yes,-0.161298 NO,Yes,181251,529112,OXFORD 
STREET,51.51545,NO,19/04/2013,NO,-0.1406854 NO,NO,180215,528332,PARK 
LANE,51.506317,Yes,19/04/2013,NO,-0.1523064 NO,NO,181752,529282,RIDING HOUSE 
STREET,51.519917,NO,19/04/2013,Yes,-0.1380622 NO,NO,181022,529590,TYLER'S 
COURT,51.51328,NO,19/04/2013,Yes,-0.1338857 NO,NO,181558,526669,NORTH WHARF 
ROAD,51.518764,NO,31/07/2013,Yes,-0.1757685 NO,NO,180575,529637,ST ALBAN'S 
STREET,51.50925,Yes,31/07/2013,NO,-0.133373 NO,NO,180576,530156,ADELAIDE 
STREET,51.509144,Yes,10/09/2012,NO,-0.1258982 Yes,NO,179040,529780,ARNEWAY 
STREET,51.495426,NO,10/09/2012,NO,-0.1318781
 NO,NO,180798,530151,BEDFORDBURY,51.51114,Yes,10/09/2012,NO,-0.1258883
 Yes,NO,180975,530471,BOW STREET,51.512657,NO,10/09/2012,NO,-0.1212141
 NO,NO,181472,527269,EDGWARE ROAD,51.517857,Yes,10/09/2012,Yes,-0.1671549
 Yes,NO,179070,528835,GROSVENOR GARDENS,51.495914,NO,10/09/2012,NO,-0.1454804
 NO,NO,180741,529932,HUNTS COURT,51.510677,Yes,10/09/2012,NO,-0.1290634
 NO,NO,180861,530453,TAVISTOCK COURT,51.511635,Yes,10/09/2012,NO,-0.1215156
 NO,NO,180460,529889,WHITCOMB STREET,51.50816,NO,10/09/2012,Yes,-0.1297861
 NO,NO,180685,530231,AGAR STREET,51.510105,NO,09/08/2013,Yes,-0.1247778
 NO,NO,181559,528924,ALL SOULS PLACE,51.518257,NO,09/08/2013,Yes,-0.1432817
 NO,NO,180531,529506,BABMAES STREET,51.50889,NO,09/08/2013,Yes,-0.1352758
 NO,NO,181170,525373,BOTTS PASSAGE,51.51556,NO,09/08/2013,Yes,-0.1945718
 NO,NO,178709,528691,BUCKINGHAM PALACE 
ROAD,51.492702,NO,09/08/2013,Yes,-0.147683 NO,NO,180769,529956,CRANBOURN 
ALLEY,51.51092,NO,09/08/2013,Yes,-0.1287074 NO,NO,181099,529524,DUCK 
LANE,51.51399,NO,09/08/2013,Yes,-0.134808 Yes,NO,180758,530249,HENRIETTA 
STREET,51.510757,NO,09/08/2013,NO,-0.1244917 NO,NO,181513,529242,BOOTH'S 
PLACE,51.517773,Yes,21/07/2013,NO,-0.1387179 NO,NO,181171,525328,BRIDSTOW 
PLACE,51.515587,Yes,21/07/2013,NO,-0.1952263 Yes,NO,180575,529637,ST JAMES'S 
MARKET,51.50925,NO,21/07/2013,NO,-0.133373 NO,NO,180890,530181,CONDUIT 
COURT,51.51196,Yes,20/04/2013,NO,-0.1254223 NO,NO,181046,529446,INGESTRE 
PLACE,51.51353,Yes,20/04/2013,NO,-0.1359509 Yes,NO,180445,528949,STRATTON 
STREET,51.50824,NO,20/04/2013,NO,-0.1433289 NO,NO,181173,531112,ANDREWS 
CROSSE,51.514286,Yes,16/04/2012,NO,-0.1119085 NO,Yes,178593,529818,CAUSTON 
STREET PRIVATE SECTION,51.491398,NO,16/04/2012,NO,-0.1314953
 NO,NO,180703,530410,LUMLEY COURT,51.510223,NO,16/04/2012,Yes,-0.1221933
 NO,NO,0,0,Not Recorded,0.0,NO,16/04/2012,Yes,0.0 Yes,NO,181336,528994,REGENT 
STREET,51.516247,NO,16/04/2012,NO,-0.1423526 NO,NO,178925,529409,COBURG 
CLOSE,51.494476,NO,03/01/2013,Yes,-0.1372617 Yes,NO,179038,529969,MARSHAM 
STREET,51.495365,NO,03/01/2013,NO,-0.1291577
 Yes,NO,179863,528517,PICCADILLY,51.50311,NO,03/01/2013,NO,-0.1497623
 NO,NO,180575,529637,ST ALBAN'S STREET,51.50925,Yes,03/01/2013,NO,-0.133373
 Yes,NO,183304,526985,ST JOHN'S WOOD 
TERRACE,51.534378,NO,03/01/2013,NO,-0.1705837 Yes,NO,178867,528760,ECCLESTON 
BRIDGE,51.494102,NO,14/02/2013,NO,-0.1466265 NO,NO,181257,529848,Not 
Recorded,51.51533,NO,14/02/2013,Yes,-0.1300792 NO,NO,180575,529637,ST ALBAN'S 
STREET,51.50925,NO,14/02/2013,Yes,-0.133373 NO,NO,180297,530065,CRAIG'S 
COURT,51.506664,Yes,27/06/2013,NO,-0.12731 NO,NO,181024,528644,GLOBE 
YARD,51.513515,Yes,27/06/2013,Yes,-0.1475102 Yes,NO,180918,529657,WARDOUR 
STREET,51.51233,NO,27/06/2013,NO,-0.1329589 Yes,NO,180164,529403,ANGEL 
COURT,51.50561,NO,22/08/2012,Yes,-0.1368938 NO,NO,181433,529439,BERNERS 
PLACE,51.51701,NO,22/08/2012,Yes,-0.1359096 NO,NO,180986,529660,BOURCHIER 
STREET,51.512947,NO,22/08/2012,Yes,-0.1328859 NO,NO,180703,530410,LUMLEY 
COURT,51.510223,Yes,22/08/2012,NO,-0.1221933 NO,NO,181752,529282,RIDING HOUSE 
STREET,51.519917,NO,22/08/2012,Yes,-0.1380622 Yes,NO,179088,528886,TERMINUS 
PLACE,51.49606,NO,22/08/2012,NO,-0.1447318 Yes,NO,180460,529889,WHITCOMB 
STREET,51.50816,NO,22/08/2012,NO,-0.1297861 NO,NO,180611,530085,WILLIAM IV 
STREET,51.509476,Yes,22/08/2012,NO,-0.1269071
 NO,NO,180798,530151,BEDFORDBURY,51.51114,NO,05/07/2013,Yes,-0.1258883
 NO,NO,181080,530459,CROWN COURT,51.513603,Yes,05/07/2013,Yes,-0.1213481
 Yes,NO,182367,524415,HARROW ROAD,51.52653,NO,05/07/2013,NO,-0.2079486
 NO,NO,181120,529480,LIVONIA STREET,51.514187,Yes,05/07/2013,Yes,-0.135434
 Yes,NO,180215,528332,PARK LANE,51.506317,NO,05/07/2013,Yes,-0.1523064
 NO,NO,181022,529590,TYLER'S COURT,51.51328,Yes,05/07/2013,NO,-0.1338857
 NO,NO,179148,529012,VICTORIA STREET,51.49657,Yes,05/07/2013,NO,-0.1428958
 Yes,NO,181121,529512,WARDOUR MEWS,51.514187,NO,05/07/2013,NO,-0.1349727
 Yes,NO,180576,530156,ADELAIDE STREET,51.509144,Yes,15/10/2012,NO,-0.1258982
 NO,Yes,181789,525712,BOURNE TERRACE,51.521057,NO,15/10/2012,NO,-0.1894706
 NO,NO,181398,528740,CAVENDISH SQUARE,51.516853,Yes,15/10/2012,NO,-0.1459909
 Yes,NO,179436,528574,CHESTER MEWS,51.49926,NO,15/10/2012,NO,-0.1490971
 NO,NO,180729,529810,LEICESTER SQUARE,51.510597,Yes,15/10/2012,NO,-0.1308323
 Yes,NO,178224,529366,LUPUS STREET,51.48819,NO,15/10/2012,NO,-0.1381329
 NO,NO,180608,529874,ORANGE STREET,51.509495,NO,15/10/2012,Yes,-0.1299477
 Yes,NO,180575,529637,ST JAMES'S MARKET,51.50925,NO,15/10/2012,NO,-0.133373
 NO,NO,181194,528991,SWALLOW PLACE,51.51496,NO,15/10/2012,Yes,-0.1424501
 NO,NO,180769,529956,CRANBOURN ALLEY,51.51092,Yes,05/04/2012,NO,-0.1287074
 NO,NO,181099,529524,DUCK LANE,51.51399,NO,05/04/2012,Yes,-0.134808
 NO,NO,0,0,Not Recorded,0.0,NO,05/04/2012,Yes,0.0 NO,NO,182488,523892,ST JOHN'S 
TERRACE,51.527733,Yes,11/09/2013,NO,-0.2154413 NO,NO,180295,530405,VICTORIA 
EMBANKMENT,51.50656,NO,11/09/2013,Yes,-0.1224161 Yes,NO,180415,529298,JERMYN 
STREET,51.507893,NO,23/09/2012,NO,-0.1383138 NO,Yes,181336,528994,REGENT 
STREET,51.516247,NO,23/09/2012,NO,-0.1423526 NO,Yes,180789,529118,SAVILE 
ROW,51.511295,NO,23/09/2012,NO,-0.1407692 NO,NO,180558,530327,YORK 
BUILDINGS,51.50894,NO,23/09/2012,Yes,-0.1234422 NO,NO,181116,530290,LONG ACRE 
WALKWAY,51.513966,NO,11/05/2012,Yes,-0.1237689 NO,NO,180703,530410,LUMLEY 
COURT,51.510223,NO,11/05/2012,Yes,-0.1221933 NO,Yes,181641,529361,NEWMAN 
STREET,51.518894,NO,11/05/2012,NO,-0.1369568 NO,NO,0,0,Not 
Recorded,0.0,NO,11/05/2012,Yes,0.0 NO,NO,180703,530410,LUMLEY 
COURT,51.510223,NO,02/07/2012,Yes,-0.1221933 NO,NO,180770,528944,NEW BOND 
STREET,51.51116,NO,02/07/2012,Yes,-0.1432821 NO,NO,0,0,Not 
Recorded,0.0,NO,02/07/2012,Yes,0.0 NO,Yes,180215,528332,PARK 
LANE,51.506317,NO,02/07/2012,NO,-0.1523064 NO,NO,181102,529447,PORTLAND 
MEWS,51.51403,NO,02/07/2012,Yes,-0.1359159 NO,NO,180460,529889,WHITCOMB 
STREET,51.50816,Yes,02/07/2012,Yes,-0.1297861 Yes,NO,180611,530085,WILLIAM IV 
STREET,51.509476,NO,02/07/2012,NO,-0.1269071 NO,Yes,181463,525442,WESTBOURNE 
PARK PASSAGE,51.518177,NO,07/08/2013,NO,-0.1934737 NO,NO,180633,529868,LONG'S 
COURT,51.50972,Yes,01/04/2013,NO,-0.1300249 Yes,NO,180758,530249,HENRIETTA 
STREET,51.510757,NO,11/02/2013,NO,-0.1244917 NO,NO,180295,530405,VICTORIA 
EMBANKMENT,51.50656,NO,11/02/2013,Yes,-0.1224161 Yes,NO,180642,530328,BEDFORD 
STREET,51.509697,NO,02/04/2013,NO,-0.1233968 Yes,NO,180231,529507,PALL 
MALL,51.50619,NO,02/04/2013,NO,-0.135376 NO,NO,180835,529547,SMITH'S 
COURT,51.51161,Yes,02/04/2013,NO,-0.1345737 Yes,NO,180575,529637,ST JAMES'S 
MARKET,51.50925,NO,02/04/2013,NO,-0.133373 NO,NO,178271,529412,MORETON 
TERRACE,51.488605,NO,09/07/2012,Yes,-0.1374616 NO,NO,0,0,Not 
Recorded,0.0,NO,09/07/2012,Yes,0.0 Yes,NO,180576,530156,ADELAIDE 
STREET,51.509144,Yes,19/09/2012,NO,-0.1258982 NO,NO,180848,530372,COVENT 
GARDEN,51.511536,Yes,19/09/2012,Yes,-0.1226869 NO,NO,181451,527303,CRAWFORD 
