vomit,blood,y,x,street,lat,urine,eventdate,humanfouling,long
 Yes,NO,182939,527231,PRINCE ALBERT ROAD,51.531044,NO,28/02/2013,NO,-0.1671707
 NO,NO,180703,530410,LUMLEY COURT,51.510223,NO,02/10/2012,Yes,-0.1221933
 NO,NO,180295,530405,VICTORIA EMBANKMENT,51.50656,NO,02/10/2012,Yes,-0.1224161
 NO,NO,179513,528085,WILTON CRESCENT,51.50006,Yes,02/10/2012,NO,-0.1561101
 Yes,NO,180520,528889,BERKELEY STREET,51.50893,NO,10/07/2012,NO,-0.1441656
 NO,NO,182012,526971,CHURCH STREET,51.52277,Yes,10/07/2012,NO,-0.171251
 NO,NO,180703,530410,LUMLEY COURT,51.510223,Yes,10/07/2012,NO,-0.1221933
 NO,NO,179115,529198,MORPETH TERRACE,51.49623,NO,10/07/2012,Yes,-0.1402299
 NO,NO,180935,527968,NORTH ROW,51.512867,Yes,10/07/2012,NO,-0.1572867
 NO,NO,180576,530156,ADELAIDE STREET,51.509144,Yes,18/10/2012,NO,-0.1258982
 Yes,NO,182271,526347,CLIFTON GARDENS,51.525238,NO,18/10/2012,NO,-0.1801477
 NO,Yes,181057,529836,Not Recorded,51.513542,NO,18/10/2012,NO,-0.1303332
 NO,NO,180798,530151,BEDFORDBURY,51.51114,NO,17/10/2012,Yes,-0.1258883
 NO,NO,180273,530027,SPRING GARDENS,51.50645,NO,17/10/2012,Yes,-0.1278677
 NO,NO,180980,528493,ST ANSELM'S PLACE,51.513153,NO,17/10/2012,Yes,-0.1497011
 Yes,NO,180670,530336,EXCHANGE COURT,51.509945,NO,16/08/2012,NO,-0.1232712
 NO,NO,178863,529221,KINGS SCHOLARS' 
PASSAGE,51.49396,NO,16/08/2012,Yes,-0.139991 NO,NO,0,0,Not 
Recorded,0.0,NO,16/08/2012,Yes,0.0
 Yes,NO,179863,528517,PICCADILLY,51.50311,NO,16/08/2012,NO,-0.1497623
 NO,NO,180624,529673,SHAVER'S PLACE,51.509686,NO,16/08/2012,Yes,-0.1328365
 NO,NO,180528,530297,BUCKINGHAM STREET,51.50868,Yes,12/02/2013,NO,-0.1238853
 NO,NO,181730,527885,CLAY STREET,51.52003,NO,12/02/2013,Yes,-0.1581861
 NO,NO,182538,526918,LODGE ROAD,51.52751,Yes,12/02/2013,NO,-0.1718295
 Yes,NO,180445,528949,STRATTON STREET,51.50824,NO,12/02/2013,NO,-0.1433289
 NO,NO,181156,525331,BOTTS MEWS,51.515446,NO,14/07/2012,Yes,-0.1951818
 Yes,NO,180415,529298,JERMYN STREET,51.507893,NO,14/07/2012,NO,-0.1383138
 Yes,NO,180608,529874,ORANGE STREET,51.509495,NO,14/07/2012,NO,-0.1299477
 NO,NO,180585,530363,JOHN ADAM STREET,51.509182,Yes,10/09/2013,NO,-0.1229144
 Yes,NO,180860,529907,LISLE STREET,51.511753,NO,10/09/2013,NO,-0.1293796
 NO,NO,181102,529447,PORTLAND MEWS,51.51403,NO,10/09/2013,Yes,-0.1359159
 Yes,NO,180575,529637,ST ALBAN'S STREET,51.50925,Yes,10/09/2013,NO,-0.133373
 NO,NO,179148,529012,VICTORIA STREET,51.49657,Yes,10/09/2013,NO,-0.1428958
 Yes,NO,180645,530010,HANWAY STREET,51.509796,NO,30/07/2012,NO,-0.1279754
 NO,NO,180703,530410,LUMLEY COURT,51.510223,NO,30/07/2012,Yes,-0.1221933
 NO,NO,180643,529739,WHITCOMB COURT,51.509842,Yes,30/07/2012,NO,-0.131879
 Yes,NO,181204,530309,ARNE STREET,51.51475,NO,17/06/2013,NO,-0.1234628
 NO,NO,181165,527157,HYDE PARK CRESCENT,51.515118,NO,17/06/2013,Yes,-0.168877
 NO,NO,180703,530410,LUMLEY COURT,51.510223,NO,25/03/2013,Yes,-0.1221933
 NO,NO,181156,525331,BOTTS MEWS,51.515446,NO,04/03/2013,Yes,-0.1951818
 NO,NO,180745,530488,EXETER STREET,51.510586,Yes,04/03/2013,NO,-0.1210544
 NO,NO,182367,524415,HARROW ROAD,51.52653,Yes,04/03/2013,NO,-0.2079486
 NO,NO,180703,530410,LUMLEY COURT,51.510223,NO,04/03/2013,Yes,-0.1221933
